ticker,status,reason,fiscal_name,exchange,tradingStatus
ACE,skipped,no strict US Fiscal.ai stock_prices match,,,
ANR,skipped,no strict US Fiscal.ai stock_prices match,,,
APOL,skipped,no strict US Fiscal.ai stock_prices match,,,
AGN,skipped,no strict US Fiscal.ai stock_prices match,,,
ARG,skipped,no strict US Fiscal.ai stock_prices match,,,
ABMD,skipped,no strict US Fiscal.ai stock_prices match,,,
ADS,skipped,no strict US Fiscal.ai stock_prices match,,,
BCR,skipped,no strict US Fiscal.ai stock_prices match,,,
ALTR,skipped,no strict US Fiscal.ai stock_prices match,,,
ALXN,skipped,no strict US Fiscal.ai stock_prices match,,,
BHI,skipped,no strict US Fiscal.ai stock_prices match,,,
ANSS,skipped,no strict US Fiscal.ai stock_prices match,,,
BRCM,skipped,no strict US Fiscal.ai stock_prices match,,,
BXLT,skipped,no strict US Fiscal.ai stock_prices match,,,
CFN,skipped,no strict US Fiscal.ai stock_prices match,,,
ATVI,skipped,no strict US Fiscal.ai stock_prices match,,,
AVP,skipped,no strict US Fiscal.ai stock_prices match,,,
ARNC,skipped,no strict US Fiscal.ai stock_prices match,,,
BIG,skipped,no strict US Fiscal.ai stock_prices match,,,
COV,skipped,no strict US Fiscal.ai stock_prices match,,,
CPGX,skipped,no strict US Fiscal.ai stock_prices match,,,
CSC,skipped,no strict US Fiscal.ai stock_prices match,,,
CVC,skipped,no strict US Fiscal.ai stock_prices match,,,
CELG,skipped,no strict US Fiscal.ai stock_prices match,,,
CVH,skipped,no strict US Fiscal.ai stock_prices match,,,
CERN,skipped,no strict US Fiscal.ai stock_prices match,,,
CHK,skipped,no strict US Fiscal.ai stock_prices match,,,
CMA,failed,"403: {""errors"":[{""message"":""This company is not available on the free plan. Free trial companies: NASDAQ_MSFT, NASDAQ_NVDA, NASDAQ_AMZN, NASDAQ_GOOG, NASDAQ_TSLA and 40 more. Contact sales at https://fiscal.ai/contact-sales to upgrade.""}]}",Comerica Incorporated,NYSE,Inactive
CTLT,skipped,no strict US Fiscal.ai stock_prices match,,,
CTXS,skipped,no strict US Fiscal.ai stock_prices match,,,
CXO,skipped,no strict US Fiscal.ai stock_prices match,,,
DAY,skipped,no strict US Fiscal.ai stock_prices match,,,
DF,skipped,no strict US Fiscal.ai stock_prices match,,,
DFS,skipped,no strict US Fiscal.ai stock_prices match,,,
DISCA,skipped,no strict US Fiscal.ai stock_prices match,,,
DPS,skipped,no strict US Fiscal.ai stock_prices match,,,
