ticker,price_ticker,reason
ACE,ACE,empty dataframe
ANR,ANR,empty dataframe
APOL,APOL,empty dataframe
AGN,AGN,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/AGN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
ARG,ARG,empty dataframe
ABMD,ABMD,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ABMD?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
ADS,ADS,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ADS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
BCR,BCR,empty dataframe
ALTR,ALTR,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ALTR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
ALXN,ALXN,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ALXN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
BHI,BHI,empty dataframe
ANSS,ANSS,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ANSS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
BRCM,BRCM,empty dataframe
BXLT,BXLT,empty dataframe
CFN,CFN,empty dataframe
ATVI,ATVI,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ATVI?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
AVP,AVP,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/AVP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
ARNC,ARNC,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ARNC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
BIG,BIG,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/BIG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
COV,COV,empty dataframe
CPGX,CPGX,empty dataframe
CSC,CSC,empty dataframe
CVC,CVC,empty dataframe
CELG,CELG,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CELG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CVH,CVH,empty dataframe
CERN,CERN,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CERN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CHK,CHK,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CHK?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CMA,CMA,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CMA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CTLT,CTLT,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CTLT?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CTXS,CTXS,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CTXS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
CXO,CXO,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CXO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DAY,DAY,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DAY?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DF,DF,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DF?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DFS,DFS,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DFS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DISCA,DISCA,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISCA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DPS,DPS,empty dataframe
DISCK,DISCK,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISCK?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
DISH,DISH,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISH?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true
