year,ticker,cik,sector,industry,name,date_added,is_current_constituent,source,as_of_date,price_ticker,sec_ticker,in_dataset_universe
2011,A,0001090872,Health Care,Life Sciences Tools & Services,Agilent Technologies,2000-06-05,True,cached_current,2011-12-31,A,A,True
2011,AA,0001675149,Unknown,Unknown,Alcoa,,False,wikipedia_removed,2011-12-31,AA,AA,True
2011,AAPL,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.,1982-11-30,True,cached_current,2011-12-31,AAPL,AAPL,True
2011,ABT,0000001800,Health Care,Health Care Equipment,Abbott Laboratories,1957-03-04,True,cached_current,2011-12-31,ABT,ABT,True
2011,ACE,896159,Unknown,Unknown,Chubb,,False,wikipedia_removed,2011-12-31,ACE,ACE,True
2011,ACN,0001467373,Information Technology,IT Consulting & Other Services,Accenture,2011-07-06,True,cached_current,2011-12-31,ACN,ACN,True
2011,ADBE,0000796343,Information Technology,Application Software,Adobe Inc.,1997-05-05,True,cached_current,2011-12-31,ADBE,ADBE,True
2011,ADI,0000006281,Information Technology,Semiconductors,Analog Devices,1999-10-12,True,cached_current,2011-12-31,ADI,ADI,True
2011,ADM,0000007084,Consumer Staples,Agricultural Products & Services,Archer Daniels Midland,1957-03-04,True,cached_current,2011-12-31,ADM,ADM,True
2011,ADP,0000008670,Industrials,Human Resource & Employment Services,Automatic Data Processing,1981-03-31,True,cached_current,2011-12-31,ADP,ADP,True
2011,ADSK,0000769397,Information Technology,Application Software,Autodesk,1989-12-01,True,cached_current,2011-12-31,ADSK,ADSK,True
2011,AEE,0001002910,Utilities,Multi-Utilities,Ameren,1991-09-19,True,cached_current,2011-12-31,AEE,AEE,True
2011,AEP,0000004904,Utilities,Electric Utilities,American Electric Power,1957-03-04,True,cached_current,2011-12-31,AEP,AEP,True
2011,AES,0000874761,Utilities,Independent Power Producers & Energy Traders,AES Corporation,1998-10-02,True,cached_current,2011-12-31,AES,AES,True
2011,AET,1122304,Unknown,Unknown,Aetna,,False,wikipedia_removed,2011-12-31,AET,AET,True
2011,AFL,0000004977,Financials,Life & Health Insurance,Aflac,1999-05-28,True,cached_current,2011-12-31,AFL,AFL,True
2011,AGN,850693,Unknown,Unknown,Allergan,,False,wikipedia_removed,2011-12-31,AGN,AGN,True
2011,AIG,0000005272,Financials,Multi-line Insurance,American International Group,1980-03-31,True,cached_current,2011-12-31,AIG,AIG,True
2011,AIV,0000922864,Unknown,Unknown,Apartment Investment & Management,,False,wikipedia_removed,2011-12-31,AIV,AIV,True
2011,AIZ,0001267238,Financials,Multi-line Insurance,Assurant,2007-04-10,True,cached_current,2011-12-31,AIZ,AIZ,True
