ticker,company_name,first_year,last_year,year_count,sp500_years,reason,correct_cik_to_fill,sec_entity_name_check,price_ticker_to_fill,sec_ticker_to_fill,sector_if_known,industry_if_known,notes
ABMD,Abiomed,2018,2021,4,"2018,2019,2020,2021",No CIK mapping,,,ABMD,ABMD,,,
ACE,Chubb,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,ACE,ACE,,,
ADS,Alliance Data Systems,2013,2019,7,"2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,ADS,ADS,,,
AET,Aetna,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,AET,AET,,,
AGN,Allergan,2011,2019,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,AGN,AGN,,,
ALTR,Altera,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,ALTR,ALTR,,,
ALXN,Alexion Pharmaceuticals,2012,2020,9,"2012,2013,2014,2015,2016,2017,2018,2019,2020",No CIK mapping,,,ALXN,ALXN,,,
ANDV,Andeavor,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,ANDV,ANDV,,,
ANR,Alpha Natural Resources,2011,2011,1,2011,No CIK mapping,,,ANR,ANR,,,
ANSS,Ansys,2017,2024,8,"2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,ANSS,ANSS,,,
APOL,Apollo Education Group,2011,2012,2,"2011,2012",No CIK mapping,,,APOL,APOL,,,
ARG,Airgas,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,ARG,ARG,,,
ARNC,Arconic,2016,2019,4,"2016,2017,2018,2019",No CIK mapping,,,ARNC,ARNC,,,
ATVI,Activision Blizzard,2015,2022,8,"2015,2016,2017,2018,2019,2020,2021,2022",No CIK mapping,,,ATVI,ATVI,,,
AVP,Avon Products,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,AVP,AVP,,,
BCR,CR Bard,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,BCR,BCR,,,
BHI,Baker Hughes,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,BHI,BHI,,,
BIG,Big Lots,2011,2012,2,"2011,2012",No CIK mapping,,,BIG,BIG,,,
BMC,BMC Software,2011,2012,2,"2011,2012",No CIK mapping,,,BMC,BMC,,,
BMS,Bemis Company,2011,2013,3,"2011,2012,2013",No CIK mapping,,,BMS,BMS,,,
BRCM,Broadcom Corporation,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,BRCM,BRCM,,,
BXLT,Baxalta,2015,2015,1,2015,No CIK mapping,,,BXLT,BXLT,,,
CA,CA Technologies,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,CA,CA,,,
CAM,Cameron International,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,CAM,CAM,,,
CBE,Cooper Industries,2011,2011,1,2011,No CIK mapping,,,CBE,CBE,,,
CCE,Coca-Cola Enterprises,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,CCE,CCE,,,
CELG,Celgene,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,CELG,CELG,,,
CERN,Cerner,2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,CERN,CERN,,,
CFN,Carefusion,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,CFN,CFN,,,
CHK,Chesapeake Energy,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,CHK,CHK,,,
CMA,Comerica,2011,2023,13,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",No CIK mapping,,,CMA,CMA,,,
COL,Rockwell Collins,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,COL,COL,,,
COV,Covidien,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,COV,COV,,,
CPGX,Columbia Pipeline Group,2015,2015,1,2015,No CIK mapping,,,CPGX,CPGX,,,
CSC,Computer Sciences Corporation,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,CSC,CSC,,,
CSRA,CSRA,2015,2017,3,"2015,2016,2017",No CIK mapping,,,CSRA,CSRA,,,
CTLT,Catalent,2020,2023,4,"2020,2021,2022,2023",No CIK mapping,,,CTLT,CTLT,,,
CTRA,Coterra Energy,2011,2025,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",No CIK mapping,,,CTRA,CTRA,,,
CTXS,Citrix Systems,2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,CTXS,CTXS,,,
CVC,Cablevision Systems,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,CVC,CVC,,,
CVH,Coventry Health Care,2011,2012,2,"2011,2012",No CIK mapping,,,CVH,CVH,,,
CXO,Concho Resources,2016,2020,5,"2016,2017,2018,2019,2020",No CIK mapping,,,CXO,CXO,,,
DAY,Dayforce,2011,2025,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",No CIK mapping,,,DAY,DAY,,,
DF,Dean Foods,2011,2012,2,"2011,2012",No CIK mapping,,,DF,DF,,,
DFS,Discover Financial,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,DFS,DFS,,,
DISCA,"Discovery, Inc.",2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,DISCA,DISCA,,,
DISCK,"Discovery, Inc.",2014,2021,8,"2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,DISCK,DISCK,,,
DISH,Dish Network,2017,2022,6,"2017,2018,2019,2020,2021,2022",No CIK mapping,,,DISH,DISH,,,
DNB,Dun & Bradstreet,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,DNB,DNB,,,
DNR,Denbury Resources,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,DNR,DNR,,,
DO,Diamond Offshore Drilling,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,DO,DO,,,
DPS,Dr Pepper Snapple Group,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,DPS,DPS,,,
DRE,Duke Realty,2017,2021,5,"2017,2018,2019,2020,2021",No CIK mapping,,,DRE,DRE,,,
DTV,DirecTV,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,DTV,DTV,,,
DV,DeVry,2011,2011,1,2011,No CIK mapping,,,DV,DV,,,
DWDP,DuPont,2017,2018,2,"2017,2018",No CIK mapping,,,DWDP,DWDP,,,
EMC,EMC Corporation,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,EMC,EMC,,,
ENDP,Endo International,2015,2016,2,"2015,2016",No CIK mapping,,,ENDP,ENDP,,,
EP,El Paso Corporation,2011,2011,1,2011,No CIK mapping,,,EP,EP,,,
ESRX,Express Scripts,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,ESRX,ESRX,,,
ESV,Ensco,2012,2015,4,"2012,2013,2014,2015",No CIK mapping,,,ESV,ESV,,,
ETFC,E-Trade,2011,2019,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,ETFC,ETFC,,,
EVHC,Envision Healthcare,2016,2017,2,"2016,2017",No CIK mapping,,,EVHC,EVHC,,,
FBHS,Fortune Brands Home & Security,2016,2021,6,"2016,2017,2018,2019,2020,2021",No CIK mapping,,,FBHS,FBHS,,,
FDO,Family Dollar,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,FDO,FDO,,,
FII,Federated Investors,2011,2012,2,"2011,2012",No CIK mapping,,,FII,FII,,,
FL,Foot Locker,2016,2018,3,"2016,2017,2018",No CIK mapping,,,FL,FL,,,
FLIR,FLIR Systems,2011,2020,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",No CIK mapping,,,FLIR,FLIR,,,
FRC,First Republic Bank,2019,2022,4,"2019,2020,2021,2022",No CIK mapping,,,FRC,FRC,,,
FRX,Forest Laboratories,2011,2013,3,"2011,2012,2013",No CIK mapping,,,FRX,FRX,,,
FTR,Frontier Communications,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,FTR,FTR,,,
