Ticker,CIK,FiscalYear,EndDate,filed_date,ValuationDate,Sector,Industry,m1,m2,m3,y,Close,MarketCap,PBR,AdjEquity,AdjOI,Revenue,OI,NetIncome,RD,SGA,Shares,SP500MemberYear,SP500AsOfDate
A,1090872,2013,2013-10-31,2013-12-19,2014-01-31,Health Care,Life Sciences Tools & Services,0.08055319016627747,1.0728054679284964,1.0545575515635397,0.4289122444812976,41.59513473510742,13801619263.753891,1.5355862723145384,8987850121.21212,1020238000.0,6782000000.0,951000000.0,724000000.0,704000000.0,1880000000.0,331808500.0,2013,2013-12-31
A,1090872,2014,2014-10-31,2014-12-22,2015-01-31,Health Care,Life Sciences Tools & Services,0.05532297233287198,1.1327189651022864,1.07363669340212,0.32946251067621396,37.77000045776367,12665104615.03814,1.3902206988307224,9110139581.21212,941289460.0,6981000000.0,831000000.0,504000000.0,719000000.0,2043000000.0,335321802.0,2014,2014-12-31
A,1090872,2015,2015-10-31,2015-12-21,2016-01-31,Health Care,Life Sciences Tools & Services,0.05413188605672432,-0.09445605708812252,0.5282510865802531,0.5236892571865831,37.650001525878906,12506234515.352554,1.6882445431015893,7407833519.412121,-49306061.79999995,4038000000.0,522000000.0,401000000.0,330000000.0,1189000000.0,332170890.0,2015,2015-12-31
A,1090872,2016,2016-10-31,2016-12-20,2017-01-31,Health Care,Life Sciences Tools & Services,0.06489439914636722,0.4071950221040652,0.6984048350341822,0.7944173014120817,48.970001220703125,15755994125.328644,2.213151021032238,7119258458.006121,250424938.5940001,4202000000.0,615000000.0,462000000.0,329000000.0,1253000000.0,321747881.0,2016,2016-12-31
A,1090872,2017,2017-10-31,2017-12-21,2018-01-31,Health Care,Life Sciences Tools & Services,0.09161786091742272,0.7128831258715578,1.017102615694165,1.155953752679455,73.43000030517578,23719213821.18728,3.1770520949417347,7465793166.8641,599534708.8579801,4472000000.0,841000000.0,684000000.0,339000000.0,1229000000.0,323018027.0,2017,2017-12-31
A,1090872,2018,2018-10-31,2018-12-20,2019-01-31,Health Care,Life Sciences Tools & Services,0.04432281278543286,0.922110188507378,1.128698853178536,1.2231193219122403,76.05000305175781,24224439728.785736,3.397769958642317,7129511421.798947,855718254.9348468,4914000000.0,928000000.0,316000000.0,385000000.0,1374000000.0,318533054.0,2018,2018-12-31
A,1090872,2019,2019-10-31,2019-12-19,2020-01-31,Health Care,Life Sciences Tools & Services,0.14657413440437986,0.9961437096773086,1.1190112299820587,1.2541170438926497,82.55999755859375,25608741985.116272,3.5047424739995496,7306882652.605294,937371230.8063474,5163000000.0,941000000.0,1071000000.0,404000000.0,1460000000.0,310183415.0,2019,2019-12-31
A,1090872,2020,2020-10-31,2020-12-18,2021-01-31,Health Care,Life Sciences Tools & Services,0.09546886220958468,1.117457121324176,1.1515373352855052,1.5884483832473968,120.16999816894533,36874106977.561745,4.896146089210469,7531251377.245547,945368724.6402528,5339000000.0,846000000.0,719000000.0,495000000.0,1496000000.0,306849526.0,2020,2020-12-31
A,1090872,2021,2021-10-31,2021-12-17,2022-01-31,Health Care,Life Sciences Tools & Services,0.1494430758724098,1.036731288425367,1.037854182999216,1.6479877938670051,139.32000732421875,42074753249.9599,5.196512844831965,8096728422.754517,1396477045.5089693,6319000000.0,1347000000.0,1210000000.0,441000000.0,1619000000.0,302000797.0,2021,2021-12-31
A,1090872,2022,2022-10-31,2022-12-21,2023-01-31,Health Care,Life Sciences Tools & Services,0.15525031988327234,1.0398946974604508,1.0244319700614808,1.7181992943871947,152.0800018310547,45026636385.3241,5.574481421123888,8077278043.245525,1682549620.4910095,6848000000.0,1618000000.0,1254000000.0,467000000.0,1637000000.0,296072040.0,2022,2022-12-31
A,1090872,2023,2023-10-31,2023-12-20,2024-01-31,Health Care,Life Sciences Tools & Services,0.14296211972796527,1.0417394412807233,1.0305602716468591,1.4804478019316016,130.10000610351562,38119835458.555115,4.39491329099701,8673626288.974503,1406348245.7289765,6833000000.0,1350000000.0,1240000000.0,481000000.0,1634000000.0,293004102.0,2023,2023-12-31
A,1090872,2024,2024-10-31,2024-12-20,2025-01-31,Health Care,Life Sciences Tools & Services,0.1474393207690006,1.010721320321515,0.9841911574146064,1.5993328629851482,151.52000427246094,43273401379.23477,4.9497291751114885,8742579613.612915,1503953324.6384144,6510000000.0,1488000000.0,1289000000.0,479000000.0,1568000000.0,285595302.0,2024,2024-12-31
A,1090872,2025,2025-10-31,2025-12-22,2026-01-31,Health Care,Life Sciences Tools & Services,0.13552350493232077,1.0196002214386326,1.0077059252316984,1.3728931936667153,133.85000610351562,37946325613.68979,3.9467529136380186,9614568341.120653,1507988727.5077376,6948000000.0,1479000000.0,1303000000.0,455000000.0,1709000000.0,283498871.0,2025,2025-12-31
AAL,6201,2015,2015-12-31,2016-02-24,2016-03-31,Unknown,Unknown,1.195874500121316,1.042769825918762,1.805699481865285,1.3574222365364657,41.0099983215332,24729767783.004284,3.8861627707774606,6363544000.0,6469344000.0,40990000000.0,6204000000.0,7610000000.0,,1394000000.0,603018015.0,2015,2015-12-31
AAL,6201,2016,2016-12-31,2017-02-22,2017-03-31,Unknown,Unknown,0.5730162682145084,1.0296140196820591,0.9006126616746086,1.5187500398084361,42.29999923706055,21325730608.46072,4.56651366599704,4670024480.0,5440480480.0,40180000000.0,5284000000.0,2676000000.0,,1323000000.0,504154397.0,2016,2016-12-31
AAL,6201,2017,2017-12-31,2018-02-21,2018-03-31,Unknown,Unknown,0.38673404277323364,1.0372207791030064,1.0872285609127714,1.60028517224605,51.959999084472656,24584285535.5086,4.954445093193732,4962066401.6,4209041921.6,42207000000.0,4058000000.0,1919000000.0,,1477000000.0,473138683.0,2017,2017-12-31
