date,added_ticker,added_security,removed_ticker,removed_security
1976-07-01,DIS,The Walt Disney Company,AYE,Allegheny Energy
1976-07-01,BUD,Anheuser Busch,HNG,Houston Natural Gas
1994-09-30,NCC,National City,MCK,McKesson
1997-06-17,CCR,Countrywide Credit Industries,USL,USLife
1998-12-11,CCL,Carnival Corporation,GRN,General Re
1998-12-11,CPWR,Compuware,SUN,SunAmerica
1998-12-11,FSR,Firstar,AN,Amoco
1999-04-12,ACT,Actavis,,
1999-06-09,WLP,Wellpoint,HPH,Harnischfeger Industries
1999-12-08,YHOO,Yahoo!,LDW,Laidlaw
2000-06-07,SBUX,Starbucks,SMS,Shared Medical Systems
2000-06-12,CVG,Convergys,TMC,Times Mirror
2000-07-27,JDSU,JDS Uniphase,RAD,Rite Aid
2000-12-05,SBL,Symbol Technologies,OI,Owens-Illinois
2000-12-05,INTU,Intuit,BS,Bethlehem Steel
2000-12-05,ABK,Ambac Financial,CCK,Crown Holdings
2000-12-05,AYE,Allegheny Energy,GRA,WR Grace
2003-09-25,ESRX,Express Scripts,QTRN,Quintiles Transnational
2005-07-01,STZ,Constellation Brands,GLK,Great Lakes Chemical
2005-11-18,AMZN,Amazon,T,AT&T Corporation
2006-06-02,JNPR,Juniper Networks,ABS,Albertsons
2007-01-10,AVB,AvalonBay Communities,SBL,Symbol Technologies
2007-03-30,KFT,Kraft Foods,TSG,Sabre Corporation
2007-07-02,DFS,Discover Financial,ADCT,ADC Telecommunications
2007-08-24,LUK,Leucadia National,KSE,KeySpan
2007-09-26,ICE,Intercontinental Exchange,FDC,First Data
2007-09-27,TSO,Tesoro Corporation,MXIM,Maxim Integrated Products
2007-10-01,TDC,Teradata,NCR,NCR Corporation
2007-10-02,EXPE,Expedia,SLR,Solectron
2007-10-26,JEC,Jacobs Engineering Group,AV,Avaya
2007-12-13,GME,GameStop,DJ,Dow Jones
2007-12-20,RRC,Range Resources,TRB,Tribune Media
2008-06-10,LO,Lorillard Tobacco Company,ABK,Ambac Financial
2008-06-23,MEE,Massey Energy,OMX,OfficeMax
2008-06-23,COG,Cabot Oil & Gas,BC,Brunswick
2008-07-01,AKS,AK Steel,CFC,Countrywide Financial Corp
2008-09-12,FAST,Fastenal,FNM,Fannie Mae
2008-09-12,CRM,Salesforce,FRE,Freddie Mac
