ticker,cik,sector,industry,name,date_added,is_current_constituent,source
A,0001090872,Health Care,Life Sciences Tools & Services,Agilent Technologies,2000-06-05,True,wikipedia_current
AAPL,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.,1982-11-30,True,wikipedia_current
ABBV,0001551152,Health Care,Biotechnology,AbbVie,2012-12-31,True,wikipedia_current
ABNB,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Airbnb,2023-09-18,True,wikipedia_current
ABT,0000001800,Health Care,Health Care Equipment,Abbott Laboratories,1957-03-04,True,wikipedia_current
ACGL,0000947484,Financials,Property & Casualty Insurance,Arch Capital Group,2022-11-01,True,wikipedia_current
ACN,0001467373,Information Technology,IT Consulting & Other Services,Accenture,2011-07-06,True,wikipedia_current
ADBE,0000796343,Information Technology,Application Software,Adobe Inc.,1997-05-05,True,wikipedia_current
ADI,0000006281,Information Technology,Semiconductors,Analog Devices,1999-10-12,True,wikipedia_current
ADM,0000007084,Consumer Staples,Agricultural Products & Services,Archer Daniels Midland,1957-03-04,True,wikipedia_current
ADP,0000008670,Industrials,Human Resource & Employment Services,Automatic Data Processing,1981-03-31,True,wikipedia_current
ADSK,0000769397,Information Technology,Application Software,Autodesk,1989-12-01,True,wikipedia_current
AEE,0001002910,Utilities,Multi-Utilities,Ameren,1991-09-19,True,wikipedia_current
AEP,0000004904,Utilities,Electric Utilities,American Electric Power,1957-03-04,True,wikipedia_current
AES,0000874761,Utilities,Independent Power Producers & Energy Traders,AES Corporation,1998-10-02,True,wikipedia_current
AFL,0000004977,Financials,Life & Health Insurance,Aflac,1999-05-28,True,wikipedia_current
AIG,0000005272,Financials,Multi-line Insurance,American International Group,1980-03-31,True,wikipedia_current
AIZ,0001267238,Financials,Multi-line Insurance,Assurant,2007-04-10,True,wikipedia_current
AJG,0000354190,Financials,Insurance Brokers,Arthur J. Gallagher & Co.,2016-05-31,True,wikipedia_current
AKAM,0001086222,Information Technology,Internet Services & Infrastructure,Akamai Technologies,2007-07-12,True,wikipedia_current
ALB,0000915913,Materials,Specialty Chemicals,Albemarle Corporation,2016-07-01,True,wikipedia_current
ALGN,0001097149,Health Care,Health Care Supplies,Align Technology,2017-06-19,True,wikipedia_current
ALL,0000899051,Financials,Property & Casualty Insurance,Allstate,1995-07-13,True,wikipedia_current
ALLE,0001579241,Industrials,Building Products,Allegion,2013-12-02,True,wikipedia_current
AMAT,0000006951,Information Technology,Semiconductor Materials & Equipment,Applied Materials,1995-03-16,True,wikipedia_current
AMCR,0001748790,Materials,Paper & Plastic Packaging Products & Materials,Amcor,2019-06-07,True,wikipedia_current
AMD,0000002488,Information Technology,Semiconductors,Advanced Micro Devices,2017-03-20,True,wikipedia_current
AME,0001037868,Industrials,Electrical Components & Equipment,Ametek,2013-09-23,True,wikipedia_current
AMGN,0000318154,Health Care,Biotechnology,Amgen,1992-01-02,True,wikipedia_current
AMP,0000820027,Financials,Asset Management & Custody Banks,Ameriprise Financial,2005-10-03,True,wikipedia_current
AMT,0001053507,Real Estate,Telecom Tower REITs,American Tower,2007-11-19,True,wikipedia_current
AMZN,0001018724,Consumer Discretionary,Broadline Retail,Amazon,2005-11-18,True,wikipedia_current
ANET,0001596532,Information Technology,Communications Equipment,Arista Networks,2018-08-28,True,wikipedia_current
AON,0000315293,Financials,Insurance Brokers,Aon plc,1996-04-23,True,wikipedia_current
AOS,0000091142,Industrials,Building Products,A. O. Smith,2017-07-26,True,wikipedia_current
APA,0001841666,Energy,Oil & Gas Exploration & Production,APA Corporation,1997-07-28,True,wikipedia_current
APD,0000002969,Materials,Industrial Gases,Air Products,1985-04-30,True,wikipedia_current
APH,0000820313,Information Technology,Electronic Components,Amphenol,2008-09-30,True,wikipedia_current
APO,0001858681,Financials,Asset Management & Custody Banks,Apollo Global Management,2024-12-23,True,wikipedia_current
APP,0001751008,Information Technology,Application Software,AppLovin,2025-09-22,True,wikipedia_current
APTV,0001521332,Consumer Discretionary,Automotive Parts & Equipment,Aptiv,2012-12-24,True,wikipedia_current
ARE,0001035443,Real Estate,Office REITs,Alexandria Real Estate Equities,2017-03-20,True,wikipedia_current
ARES,0001176948,Financials,Asset Management & Custody Banks,Ares Management,2025-12-11,True,wikipedia_current
ATO,0000731802,Utilities,Gas Utilities,Atmos Energy,2019-02-15,True,wikipedia_current
AVB,0000915912,Real Estate,Multi-Family Residential REITs,AvalonBay Communities,2007-01-10,True,wikipedia_current
AVGO,0001730168,Information Technology,Semiconductors,Broadcom,2014-05-08,True,wikipedia_current
AVY,0000008818,Materials,Paper & Plastic Packaging Products & Materials,Avery Dennison,1987-12-31,True,wikipedia_current
AWK,0001410636,Utilities,Water Utilities,American Water Works,2016-03-04,True,wikipedia_current
AXON,0001069183,Industrials,Aerospace & Defense,Axon Enterprise,2023-05-04,True,wikipedia_current
AXP,0000004962,Financials,Consumer Finance,American Express,1976-06-30,True,wikipedia_current
AZO,0000866787,Consumer Discretionary,Automotive Retail,AutoZone,1997-01-02,True,wikipedia_current
BA,0000012927,Industrials,Aerospace & Defense,Boeing,1957-03-04,True,wikipedia_current
BAC,0000070858,Financials,Diversified Banks,Bank of America,1976-06-30,True,wikipedia_current
BALL,0000009389,Materials,"Metal, Glass & Plastic Containers",Ball Corporation,1984-10-31,True,wikipedia_current
BAX,0000010456,Health Care,Health Care Equipment,Baxter International,1972-09-30,True,wikipedia_current
BBY,0000764478,Consumer Discretionary,Computer & Electronics Retail,Best Buy,1999-06-29,True,wikipedia_current
BDX,0000010795,Health Care,Health Care Equipment,Becton Dickinson,1972-09-30,True,wikipedia_current
BEN,0000038777,Financials,Asset Management & Custody Banks,Franklin Resources,1998-04-30,True,wikipedia_current
BF-B,0000014693,Consumer Staples,Distillers & Vintners,Brown–Forman,1982-10-31,True,wikipedia_current
BG,0001996862,Consumer Staples,Agricultural Products & Services,Bunge Global,2023-03-15,True,wikipedia_current
BIIB,0000875045,Health Care,Biotechnology,Biogen,2003-11-13,True,wikipedia_current
BKNG,0001075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Booking Holdings,2009-11-06,True,wikipedia_current
BKR,0001701605,Energy,Oil & Gas Equipment & Services,Baker Hughes,2017-07-07,True,wikipedia_current
BLDR,0001316835,Industrials,Building Products,Builders FirstSource,2023-12-18,True,wikipedia_current
BLK,0002012383,Financials,Asset Management & Custody Banks,BlackRock,2011-04-04,True,wikipedia_current
BMY,0000014272,Health Care,Pharmaceuticals,Bristol Myers Squibb,1957-03-04,True,wikipedia_current
BNY,0001390777,Financials,Asset Management & Custody Banks,BNY Mellon,1995-03-31,True,wikipedia_current
BR,0001383312,Industrials,Data Processing & Outsourced Services,Broadridge Financial Solutions,2018-06-18,True,wikipedia_current
BRK-B,0001067983,Financials,Multi-Sector Holdings,Berkshire Hathaway,2010-02-16,True,wikipedia_current
BRO,0000079282,Financials,Insurance Brokers,Brown & Brown,2021-09-20,True,wikipedia_current
BSX,0000885725,Health Care,Health Care Equipment,Boston Scientific,1995-02-24,True,wikipedia_current
BX,0001393818,Financials,Asset Management & Custody Banks,Blackstone Inc.,2023-09-18,True,wikipedia_current
BXP,0001037540,Real Estate,Office REITs,"BXP, Inc.",2006-04-03,True,wikipedia_current
C,0000831001,Financials,Diversified Banks,Citigroup,1988-05-31,True,wikipedia_current
CAG,0000023217,Consumer Staples,Packaged Foods & Meats,Conagra Brands,1983-08-31,True,wikipedia_current
CAH,0000721371,Health Care,Health Care Distributors,Cardinal Health,1997-05-27,True,wikipedia_current
