ticker,price_ticker,sec_ticker,cik,sector,industry,name,notes,source_url
ABMD,ABMD,ABMD,0000815094,,,Abiomed,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000815094&owner=exclude
ACE,ACE,ACE,0000896159,,,Chubb,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000896159&owner=exclude
ADS,ADS,ADS,0001101215,,,Alliance Data Systems,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001101215&owner=exclude
AET,AET,AET,0001122304,,,Aetna,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001122304&owner=exclude
AGN,AGN,AGN,0001578845,,,Allergan,Issuer transition: 2011-2014 Allergan Inc. was CIK 0000850693; filled 0001578845 for Allergan plc covering 2015-2019. Split by year for period-exact CIKs.,https://www.sec.gov/edgar/browse/?CIK=0001578845&owner=exclude
ALTR,ALTR,ALTR,0000768251,,,Altera,Historical ticker reuse: current ALTR maps to Altair; selected Altera Corp historical CIK.,https://www.sec.gov/edgar/browse/?CIK=0000768251&owner=exclude
ALXN,ALXN,ALXN,0000899866,,,Alexion Pharmaceuticals,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000899866&owner=exclude
ANDV,ANDV,ANDV,0000050104,,,Andeavor,Same CIK as Tesoro/Andeavor historical issuer.,https://www.sec.gov/edgar/browse/?CIK=0000050104&owner=exclude
ANR,ANR,ANR,0001301063,,,Alpha Natural Resources,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001301063&owner=exclude
ANSS,ANSS,ANSS,0001013462,,,Ansys,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001013462&owner=exclude
APOL,APOL,APOL,0000929887,,,Apollo Education Group,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000929887&owner=exclude
ARG,ARG,ARG,0000804212,,,Airgas,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000804212&owner=exclude
ARNC,ARNC,ARNC,0000004281,,,Arconic,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000004281&owner=exclude
ATVI,ATVI,ATVI,0000718877,,,Activision Blizzard,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000718877&owner=exclude
AVP,AVP,AVP,0000008868,,,Avon Products,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000008868&owner=exclude
BCR,BCR,BCR,0000009892,,,CR Bard,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000009892&owner=exclude
BHI,BHI,BHI,0000808362,,,Baker Hughes,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000808362&owner=exclude
BIG,BIG,BIG,0000768835,,,Big Lots,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000768835&owner=exclude
BMC,BMC,BMC,0000835729,,,BMC Software,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000835729&owner=exclude
BMS,BMS,BMS,0000011199,,,Bemis Company,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000011199&owner=exclude
BRCM,BRCM,BRCM,0001054374,,,Broadcom Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001054374&owner=exclude
BXLT,BXLT,BXLT,0001620546,,,Baxalta,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001620546&owner=exclude
