FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2016,2017-03-31,gap_top_5pct,14,14,0,0,0.26287522112315514
2016,2017-03-31,gap_top_10pct,28,28,0,0,0.21638834843094598
2016,2017-03-31,gap_top_20pct,56,56,0,0,0.1257076489618478
2016,2017-03-31,gap_top_30pct,84,84,0,0,0.1382426740820619
2017,2018-03-31,gap_top_5pct,14,14,0,0,0.22969549106502946
2017,2018-03-31,gap_top_10pct,29,29,0,0,0.10361398586954529
2017,2018-03-31,gap_top_20pct,58,58,1,0,0.028623296902159666
2017,2018-03-31,gap_top_30pct,88,88,1,0,0.02743963600072833
2018,2019-03-31,gap_top_5pct,15,15,0,0,-0.06949503422783297
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.11600612294001514
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.19656466997686003
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.21159410365400189
2019,2020-03-31,gap_top_5pct,16,16,0,0,0.6696180820317525
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.7758440777818227
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.9637897333385501
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8537114851357744
2020,2021-03-31,gap_top_5pct,16,16,0,0,0.20932349362741542
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.1403979515953142
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.13120013270090408
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.1092023859084111
2021,2022-03-31,gap_top_5pct,17,17,0,0,-0.05479457583270639
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.07222288341681295
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.041541891076993506
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.04551895547672921
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.1557470300635998
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.3070744115911293
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.22914336825202147
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.206429024738873
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.04863851638506216
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.007608184774850401
2023,2024-03-31,gap_top_20pct,75,75,0,0,-0.007950449113262842
2023,2024-03-31,gap_top_30pct,112,112,0,0,0.004506682044550821
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.1779362179037701
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.2180667179914742
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2518268338786983
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.24972396495607682
