MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2017-04-30,0.020042281306594134,1.0200422813065937,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.019542281306594134
2017-05-31,0.0395428403658693,1.0603776504027376,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.0389428403658693
2017-06-30,-0.016738766194675514,1.0426282368345867,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.017338766194675514
2017-07-31,0.04405978619682682,1.0885662140322931,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.04335978619682682
2017-08-31,-0.010189211660118103,1.0774745824714647,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,-0.011089211660118102
2017-09-30,0.024051569485126656,1.103389537260235,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.023151569485126654
2017-10-31,0.04074583283667965,1.1483480628991818,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.039845832836679654
2017-11-30,0.050951556248201246,1.2068581838185024,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.050151556248201244
2017-12-31,0.0011233568636606073,1.2082139162427599,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,0.0002233568636606073
2018-01-31,0.05863987619671773,1.2790634307103868,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.057539876196717736
2018-02-28,-0.03808140855725972,1.2303548936348543,14,14,0,0,2016,2017-03-31,gap_top_5pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.03918140855725972
2018-03-31,0.026431664275520905,1.2628752211231549,14,14,0,0,2016,2017-03-31,gap_top_5pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.025231664275520906
2017-04-30,0.0050852952803863705,1.005085295280386,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.00458529528038637
2017-05-31,0.021964110455512387,1.0271610997231355,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.021364110455512387
2017-06-30,0.0006681210739223342,1.0278473677001738,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,6.812107392233427e-05
