MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2017-04-30,0.020042281306594134,1.0200422813065937,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-05-31,0.0395428403658693,1.0603776504027376,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-06-30,-0.016738766194675514,1.0426282368345867,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-07-31,0.04405978619682682,1.0885662140322931,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-08-31,-0.010189211660118103,1.0774745824714647,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-09-30,0.024051569485126656,1.103389537260235,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-10-31,0.04074583283667965,1.1483480628991818,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-11-30,0.050951556248201246,1.2068581838185024,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-12-31,0.0011233568636606073,1.2082139162427599,14,14,0,0,2016,2017-03-31,gap_top_5pct
2018-01-31,0.05863987619671773,1.2790634307103868,14,14,0,0,2016,2017-03-31,gap_top_5pct
2018-02-28,-0.03808140855725972,1.2303548936348543,14,14,0,0,2016,2017-03-31,gap_top_5pct
2018-03-31,0.026431664275520905,1.2628752211231549,14,14,0,0,2016,2017-03-31,gap_top_5pct
2017-04-30,0.0050852952803863705,1.005085295280386,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-05-31,0.021964110455512387,1.0271610997231355,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-06-30,0.0006681210739223342,1.0278473677001738,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-07-31,0.03699981144874687,1.065877526503171,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-08-31,-0.007311394489099232,1.058084475429841,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-09-30,0.02575490459772123,1.0853353401508665,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-10-31,0.028637784664084398,1.1164169399104278,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-11-30,0.060905210400330256,1.1844125485301653,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-12-31,0.002318039163490937,1.1871580632033885,28,28,0,0,2016,2017-03-31,gap_top_10pct
2018-01-31,0.05586354613913658,1.253476922441599,28,28,0,0,2016,2017-03-31,gap_top_10pct
2018-02-28,-0.03830476435176844,1.2054627843070935,28,28,0,0,2016,2017-03-31,gap_top_10pct
2018-03-31,0.009063377373472736,1.216388348430946,28,28,0,0,2016,2017-03-31,gap_top_10pct
2017-04-30,0.007731430330578881,1.00773143033058,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-05-31,0.0039597035535561265,1.0117217480562901,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-06-30,0.00758115007327298,1.019391762460699,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-07-31,0.02113864600764015,1.04094032407046,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-08-31,-0.014634323917445569,1.025706866189282,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-09-30,0.02768620069798411,1.0541047923438989,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-10-31,0.018836825719909855,1.0739607806078026,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-11-30,0.03971030159942002,1.116608087111687,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-12-31,0.006877254539590316,1.124287285147719,56,56,0,0,2016,2017-03-31,gap_top_20pct
2018-01-31,0.052954197852028484,1.1838230164879513,56,56,0,0,2016,2017-03-31,gap_top_20pct
2018-02-28,-0.04820922637364433,1.1267518246997532,56,56,0,0,2016,2017-03-31,gap_top_20pct
2018-03-31,-0.0009267131545882545,1.1257076489618476,56,56,0,0,2016,2017-03-31,gap_top_20pct
2017-04-30,0.007687766619607572,1.007687766619606,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-05-31,0.004761438977006316,1.012485810428241,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-06-30,0.006380639177158365,1.0189461170565763,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-07-31,0.019249951087067618,1.038560779970273,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-08-31,-0.010575870894556472,1.0275770952451575,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-09-30,0.029449973250467387,1.0578392132129204,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-10-31,0.019453387569969394,1.078417769414263,84,84,0,0,2016,2017-03-31,gap_top_30pct
