FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2016,mse,all,2013,2015,753,282,0.4622159495711274,0.5663489117377511,-0.06154636923530536,0.06911110319835893,-0.0817233650676698,,0
2017,mse,all,2014,2016,793,295,0.3942708103956712,0.594136249062516,-0.01482195214388844,0.09011259989695435,-0.09485373509782752,,0
2018,mse,all,2015,2017,844,307,0.4081204756267412,0.6044420908996372,-0.03132668645424171,0.11224648656946692,-0.10679728983468138,,0
2019,mse,all,2016,2018,884,321,0.47472963402186363,0.6908993845474739,-0.007708491823372549,0.04563621679577942,-0.09788693826758516,,0
2020,mse,all,2017,2019,923,332,0.4037477258529157,0.7242504214025169,-0.014774462536877846,-0.011408891873630212,-0.08489448059905905,,0
2021,mse,all,2018,2020,960,356,0.4468443999048858,0.47507544961962567,0.0014496705667733233,-0.019680689411997063,-0.06305216716819786,,0
2022,mse,all,2019,2021,1009,370,0.5243365862693834,0.48207966465607904,-0.01025354760956582,0.03559887244698611,-0.06867456814651339,,0
2023,mse,all,2020,2022,1058,375,0.6249239103470788,0.4247795557375109,0.015768096242191235,0.08059129694892002,-0.06987063839039592,,0
2024,mse,all,2021,2023,1101,373,0.6412963236043677,0.6961667671515815,0.04114300560912235,0.08869894869697459,-0.062054274500170946,,0
2025,mse,all,2022,2024,1118,382,0.7102097631809844,0.7268894612579834,0.03924635365463929,0.09179169506716287,-0.06178919498788289,,0
