MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2017-04-30,0.07462252226176691,1.074622522261767,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-05-31,0.04403120818189965,1.1219394502564328,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-06-30,-0.03337948280409753,1.0844896916693596,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-07-31,0.10821356398850579,1.2018461863136967,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-08-31,0.03345367475303762,1.2420523577338138,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-09-30,0.0719756828281719,1.331449924290046,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-10-31,0.07371087378940633,1.4295922616163041,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-11-30,-0.013816095647281479,1.4098408781932,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-12-31,-0.025508857798448914,1.3738774477129292,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-01-31,0.023128036850042166,1.4056525359510756,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-02-28,0.005433962219593136,1.4132907987253092,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-03-31,0.04146072857938354,1.4718868649349994,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-04-30,0.059895307076687,1.059895307076687,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-05-31,0.11526486122623703,1.1820639925612213,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-06-30,-0.018015930597508056,1.160768009709425,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-07-31,0.1325564527128471,1.3146352994990582,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-08-31,0.019014599505602137,1.3396325632149602,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-09-30,0.013094874868740058,1.3571748840003495,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-10-31,0.11605546155121282,1.514682441568724,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-11-30,0.041046892893946696,1.576855449516137,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-12-31,0.017413690600113663,1.6043143224351142,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-01-31,0.0059379727863349,1.6138406972224613,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-02-28,-0.010800513708193349,1.5964103886492698,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-03-31,0.05406141811215215,1.6827145981486211,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-04-30,0.04688545204576644,1.0468854520457664,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-05-31,0.052051434855618695,1.1013773419542217,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-06-30,-0.010697875751653152,1.0895949439943093,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-07-31,0.08949819988867924,1.1871117300896064,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-08-31,0.029286110390424946,1.2218776152627788,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-09-30,0.015563767403767859,1.2408946342625993,8,8,0,0,2016,2017-03-31,gap_top_20pct
