FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2016,mse,bio_it,2013,2015,117,41,0.16114982578397213,0.6029508979494567,-0.1293530108895947,0.043889689971739705,-0.27391384060010676,,0
2017,mse,bio_it,2014,2016,117,45,0.3752305665349143,0.6775433036519577,0.24815604017508008,-0.07655239512831145,-0.2211539494547783,,0
2018,mse,bio_it,2015,2017,127,49,0.11418367346938775,0.5755468058836563,0.20559882128615373,0.08153023458953612,-0.15992122231509517,,0
2019,mse,bio_it,2016,2018,135,52,0.2820430727841455,0.5244580179057629,0.18612522052887845,0.07823739079203677,-0.15570695146964872,,0
2020,mse,bio_it,2017,2019,146,56,0.4769391138617386,0.49736685722797885,0.09619032827041848,0.0933287867497405,-0.13667342476832572,,0
2021,mse,bio_it,2018,2020,157,62,0.6066581048072324,0.621362277673207,0.18924521884822998,0.02584670349606248,-0.14486195039647995,,0
2022,mse,bio_it,2019,2021,170,64,0.4608569237587165,0.737014211689055,0.22835287628630274,-0.01655755047480856,-0.10951569426676445,,0
2023,mse,bio_it,2020,2022,182,67,0.5015962965919069,0.7516744812037169,0.19921542825777297,-0.047623412996180295,-0.08895559190894894,,0
2024,mse,bio_it,2021,2023,193,73,0.5234367166384005,0.6111531368293461,0.011541122986177463,-0.011826471564459064,-0.015484777917653642,,0
2025,mse,bio_it,2022,2024,204,74,0.7232634081161486,0.714985106909551,0.0628892005749631,0.00501265833160344,-0.01643968263512132,,0
