FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2016,2017-03-31,gap_top_5pct,14,14,0,0,0.17537376304604751
2016,2017-03-31,gap_top_10pct,28,28,0,0,0.21638834843094598
2016,2017-03-31,gap_top_20pct,56,56,0,0,0.14188456678233066
2016,2017-03-31,gap_top_30pct,84,84,0,0,0.1401059245542036
2017,2018-03-31,gap_top_5pct,14,14,0,0,0.2296954910650295
2017,2018-03-31,gap_top_10pct,29,29,0,0,0.11711300090413623
2017,2018-03-31,gap_top_20pct,58,58,0,0,0.06059272388606552
2017,2018-03-31,gap_top_30pct,88,88,1,0,0.027439636000728327
2018,2019-03-31,gap_top_5pct,15,15,0,0,-0.069495034227833
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.12354306112352394
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.18752814976012902
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.2053020910054421
2019,2020-03-31,gap_top_5pct,16,16,0,0,0.6696180820317525
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.769388544880119
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.9696840205601679
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8605123327044408
2020,2021-03-31,gap_top_5pct,16,16,0,0,0.20932349362741542
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.16202888785630573
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.13329557583018256
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.11159327330508832
2021,2022-03-31,gap_top_5pct,17,17,0,0,-0.05479457583270639
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.06470609846584123
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0415418910769935
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.05022241788305169
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.15574703006359986
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.30707441159112925
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.2388682104734122
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.21165595058640466
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.04863851638506214
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.010956618647637096
2023,2024-03-31,gap_top_20pct,75,75,0,0,0.01874498163764841
2023,2024-03-31,gap_top_30pct,112,112,0,0,9.348510785253672e-05
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.1779362179037701
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.37563819976027524
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2722317323410111
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2590294791271946
