MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2017-04-30,0.022205071148775568,1.0222050711487751,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.021705071148775568
2017-05-31,0.023132259645745945,1.0458509842657868,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.022532259645745945
2017-06-30,-0.020178855196197665,1.0247469086974867,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.020778855196197665
2017-07-31,0.024775150773114207,1.0501351678647497,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.024075150773114208
2017-08-31,-0.011300065512283797,1.0382685716711249,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,-0.012200065512283797
2017-09-30,0.026135920682227365,1.065404676707171,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.025235920682227363
2017-10-31,0.02673539072379061,1.093888687017891,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.025835390723790607
2017-11-30,0.03781249352313143,1.1352513459107818,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.03701249352313143
2017-12-31,-0.01401019272965176,1.1193462557579752,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.01491019272965176
2018-01-31,0.07637722703545369,1.204838818865287,14,14,0,0,2016,2017-03-31,gap_top_5pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.07527722703545368
2018-02-28,-0.038678290826073214,1.1582377126306729,14,14,0,0,2016,2017-03-31,gap_top_5pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.03977829082607321
2018-03-31,0.014794933914260122,1.1753737630460475,14,14,0,0,2016,2017-03-31,gap_top_5pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.013594933914260122
2017-04-30,0.005085295280386148,1.0050852952803857,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.004585295280386148
2017-05-31,0.02196411045551261,1.0271610997231355,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.02136411045551261
2017-06-30,0.0006681210739223342,1.0278473677001738,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,6.812107392233427e-05
2017-07-31,0.03699981144874687,1.065877526503171,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.03629981144874687
2017-08-31,-0.007311394489099232,1.058084475429841,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,-0.008211394489099232
2017-09-30,0.02575490459772123,1.0853353401508665,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.024854904597721227
2017-10-31,0.028637784664084398,1.1164169399104278,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.027737784664084397
2017-11-30,0.060905210400330256,1.1844125485301653,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.060105210400330254
2017-12-31,0.002318039163490937,1.1871580632033885,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,0.001418039163490937
2018-01-31,0.0558635461391368,1.2534769224415991,28,28,0,0,2016,2017-03-31,gap_top_10pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.0547635461391368
2018-02-28,-0.03830476435176844,1.2054627843070937,28,28,0,0,2016,2017-03-31,gap_top_10pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.039404764351768436
2018-03-31,0.009063377373472514,1.216388348430946,28,28,0,0,2016,2017-03-31,gap_top_10pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.007863377373472515
2017-04-30,0.01011534606389608,1.0101153460638972,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.00961534606389608
2017-05-31,0.006835766055760084,1.0170202582589232,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.006235766055760084
2017-06-30,0.006100808640666422,1.023224904238242,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,0.005500808640666422
2017-07-31,0.02078378313603868,1.0444913887473235,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.02008378313603868
2017-08-31,-0.01302087904942173,1.030891192706282,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,-0.01392087904942173
2017-09-30,0.025029064040628324,1.0566934343874472,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.024129064040628322
2017-10-31,0.020213740107023925,1.0780531608429536,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.019313740107023924
2017-11-30,0.04423569175683473,1.1257415881634838,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.043435691756834725
2017-12-31,0.005542776957617512,1.1319813226985882,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,0.0046427769576175126
2018-01-31,0.05642663981128315,1.1958552250676013,56,56,0,0,2016,2017-03-31,gap_top_20pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.055326639811283156
