FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2016,ranknet,all,2013,2015,753,282,0.48482801291479755,0.5815354702429413,0.009040469853023956,0.04845332937541922,-0.08172336506766979,0.6359883605395866,15000
2017,ranknet,all,2014,2016,793,295,0.4300038061155034,0.5941434735729184,0.027711102029622053,0.049834025728888835,-0.0948537350978275,0.632958243734212,15000
2018,ranknet,all,2015,2017,844,307,0.4320913462784754,0.5738196452082699,0.041265327915286254,0.05646433929710232,-0.10679728983468136,0.6377964279450944,15000
2019,ranknet,all,2016,2018,884,321,0.48335029005541186,0.6159300897262341,0.07027429262631306,-0.0072748942679290605,-0.09788693826758517,0.6286902224058439,15000
2020,ranknet,all,2017,2019,923,332,0.40156784314512184,0.6609108425366347,0.024714969054422463,-0.06228520620736527,-0.08489448059905909,0.6188339902284804,15000
2021,ranknet,all,2018,2020,960,356,0.4308098692712077,0.3964855249320733,0.02956599205452691,-0.03497396802124583,-0.06305216716819786,0.6633338493547923,15000
2022,ranknet,all,2019,2021,1009,370,0.5246449228409632,0.3370884385963081,0.010297574674405474,0.014560122397002249,-0.06867456814651342,0.6707311922236648,15000
2023,ranknet,all,2020,2022,1058,375,0.6296079610679184,0.2771329434834218,0.021965788842293395,0.028688987876066944,-0.06987063839039596,0.6760262002139329,15000
2024,ranknet,all,2021,2023,1101,373,0.6268582478561788,0.5031245631130437,-0.00023193616937229535,0.10893771932149315,-0.06205427450017096,0.6459050907636223,15000
2025,ranknet,all,2022,2024,1118,382,0.6564073468749458,0.548654322443685,0.04522369822713353,0.13938797178970294,-0.061789194987882864,0.6360165304632859,15000
