FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2016,ranknet,bio_it,2013,2015,117,41,0.222822299651568,0.3338679586758926,-0.006281578243562614,-0.09534916149894429,-0.273913840600107,0.6696079165737475,2235
2017,ranknet,bio_it,2014,2016,117,45,0.45322793148880103,0.3197016919701739,0.25283606965902433,-0.013083672112121353,-0.22115394945477818,0.6568849098515168,2235
2018,ranknet,bio_it,2015,2017,127,49,0.15051020408163265,0.23254013494094622,0.24173073608033457,0.07436316453592896,-0.15992122231509526,0.6617974522659522,2630
2019,ranknet,bio_it,2016,2018,135,52,0.23406117270704854,0.2244153533071481,0.20993455005248032,0.11831344076266799,-0.15570695146964883,0.6623390191517639,2986
2020,ranknet,bio_it,2017,2019,146,56,0.418564910602989,0.28373486531734166,0.11057806965070098,0.10460951409690034,-0.1366734247683256,0.6678582160735085,3492
2021,ranknet,bio_it,2018,2020,157,62,0.6378837098033291,0.398324598849032,0.07577910151259284,0.052763380056729293,-0.14486195039648,0.6571996769955696,4042
2022,ranknet,bio_it,2019,2021,170,64,0.4976247439055868,0.6097757756921418,0.052835484687721854,0.12161041537807869,-0.1095156942667646,0.617362231001317,4757
2023,ranknet,bio_it,2020,2022,182,67,0.5270572272328199,0.7139271726671648,-0.04784150212671576,0.10834896852563973,-0.08895559190894904,0.589827403076579,5447
2024,ranknet,bio_it,2021,2023,193,73,0.5570973489718121,0.7618355297994669,-0.12472479970566103,0.10416232551937436,-0.015484777917653575,0.5973745322940761,6118
2025,ranknet,bio_it,2022,2024,204,74,0.6825966871470889,0.7285126508705204,-0.01805448452543349,0.08482602844429017,-0.01643968263512125,0.6135905045349334,6855
