FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.16630539445697345
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.11119098740189567
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.016428265636477653
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.01666822157415918
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7407222422557599
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.6567463196476607
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4310925140413947
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.2257605243022707
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.18914539882168332
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.015322970424353119
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.054505775268847846
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.08104765231377169
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.06241453905373633
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366006
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.18789152954868882
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.14700069693977189
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.03627734908817812
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.003336012288442164
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.8201070223526363
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8448778064552745
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.6285453281338363
