MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2019-04-30,0.12314070873794636,1.1231407087379464,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.12104070873794635
2019-05-31,-0.08767646955438357,1.024667696582995,2,2,0,0,2018,2019-03-31,gap_top_5pct,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.08977646955438358
2019-06-30,0.07417401538998059,1.1006714140789582,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.07237401538998059
2019-07-31,0.05753628094304397,1.1639999537853827,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.05563628094304397
2019-08-31,-0.012569849720594939,1.149368649291521,2,2,0,0,2018,2019-03-31,gap_top_5pct,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,-0.01416984972059494
2019-09-30,0.013593680784975692,1.1649927998142486,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.011793680784975693
2019-10-31,0.09902037405512965,1.2803508226233884,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.09752037405512964
2019-11-30,-0.007635632236293488,1.2705745346084003,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,-0.008835632236293488
2019-12-31,0.06041607299334073,1.3473376584347814,2,2,0,0,2018,2019-03-31,gap_top_5pct,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,0.05901607299334073
2020-01-31,0.043644295764814434,1.4061412616945814,2,2,0,0,2018,2019-03-31,gap_top_5pct,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.04234429576481443
2020-02-29,-0.04551149344820138,1.3421456728757228,2,2,0,0,2018,2019-03-31,gap_top_5pct,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.04671149344820138
2020-03-31,-0.13101430192893204,1.1663053944569732,2,2,0,0,2018,2019-03-31,gap_top_5pct,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,-0.13221430192893205
2019-04-30,0.06185010319580608,1.061850103195806,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.059750103195806085
2019-05-31,-0.15676783999090527,0.8953861561236797,4,4,0,0,2018,2019-03-31,gap_top_10pct,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.15886783999090526
2019-06-30,0.10052330413352006,0.9853933310126437,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.09872330413352007
2019-07-31,0.04963571960416946,1.034304038090606,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.04773571960416946
2019-08-31,-0.04469752920710468,0.9880732031390247,4,4,0,0,2018,2019-03-31,gap_top_10pct,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,-0.04629752920710468
2019-09-30,0.027046766963079172,1.0147973888067892,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.025246766963079172
2019-10-31,0.09823943271725466,1.1144905086061194,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.09673943271725466
2019-11-30,-0.020015227263786017,1.0921837277930355,4,4,0,0,2018,2019-03-31,gap_top_10pct,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,-0.021215227263786017
