FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return,Experiment,Universe,Model,SectorScope,WindowYears
2018,2019-03-31,gap_top_5pct,15,15,0,0,-0.069495034227833,sp500_mse_all_w5,S&P500,mse,all,5
2019,2020-03-31,gap_top_5pct,16,16,0,0,0.6696180820317525,sp500_mse_all_w5,S&P500,mse,all,5
2020,2021-03-31,gap_top_5pct,16,16,0,0,0.2093234936274154,sp500_mse_all_w5,S&P500,mse,all,5
2021,2022-03-31,gap_top_5pct,17,17,0,0,-0.0547945758327063,sp500_mse_all_w5,S&P500,mse,all,5
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.2175741366573615,sp500_mse_all_w5,S&P500,mse,all,5
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.0486385163850621,sp500_mse_all_w5,S&P500,mse,all,5
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.1419345463058978,sp500_mse_all_w5,S&P500,mse,all,5
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.1113745663681388,sp500_mse_all_w5,S&P500,mse,all,5
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.7758440777818227,sp500_mse_all_w5,S&P500,mse,all,5
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.1554370324204317,sp500_mse_all_w5,S&P500,mse,all,5
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.0722228834168129,sp500_mse_all_w5,S&P500,mse,all,5
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.3172733275196014,sp500_mse_all_w5,S&P500,mse,all,5
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.0282851530396554,sp500_mse_all_w5,S&P500,mse,all,5
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.3314427751846716,sp500_mse_all_w5,S&P500,mse,all,5
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.1993522111428568,sp500_mse_all_w5,S&P500,mse,all,5
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.9742257837083697,sp500_mse_all_w5,S&P500,mse,all,5
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.1227082161401493,sp500_mse_all_w5,S&P500,mse,all,5
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0539990833157589,sp500_mse_all_w5,S&P500,mse,all,5
