MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,Experiment,Universe,Model,SectorScope,WindowYears
2019-04-30,0.025120131215812,1.0251201312158118,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-05-31,-0.0967931710264323,0.925895503032401,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-06-30,0.0711759359589567,0.9917969820609212,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-07-31,0.0467541263944486,1.03816758351783,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-08-31,-0.0170022334191555,1.0205164159346594,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-09-30,0.0125264315143667,1.033299844928152,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-10-31,0.0420849536323328,1.07678622099025,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-11-30,0.00018947126736,1.0769902410402168,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2019-12-31,0.0388391335990052,1.1188196088968028,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-01-31,0.0192260475775332,1.1403300879281295,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-02-29,-0.0550988390264087,1.0774992239764072,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-03-31,-0.1364216835922833,0.9305049657721668,15,15,0,0,2018,2019-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-04-30,0.1516412680167196,1.1516412680167196,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-05-31,0.0692160438061666,1.2313533204727545,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-06-30,-0.0140667263959437,1.2140322102169272,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-07-31,0.0846514028808238,1.3168017399542973,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-08-31,0.0675741479465876,1.405783495546293,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-09-30,-0.0456742024535661,1.3415754555648296,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-10-31,-0.0078499187294658,1.3310441972691995,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-11-30,0.12720862962173,1.50036450556977,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2020-12-31,0.0499177602304869,1.5752593412171352,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-01-31,-0.0162443651171243,1.5496702533242432,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-02-28,0.0438446603896383,1.6176150192971694,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-03-31,0.0321479846033931,1.6696180820317523,16,16,0,0,2019,2020-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-04-30,0.0677711803239715,1.0677711803239716,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-05-31,0.0264493169226796,1.0960129986732638,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-06-30,0.0215668838314073,1.1196505836933626,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-07-31,0.0524672616137869,1.1783955837840314,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-08-31,0.0135060398555564,1.1943110415042302,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-09-30,-0.045270145840019,1.1402444064769883,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-10-31,0.0589583465154901,1.2074713313064085,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-11-30,0.0212117089992864,1.2330838618110609,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2021-12-31,0.0655851747513043,1.3139558823709525,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-01-31,-0.0972787818105911,1.186135854781046,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-02-28,-0.0074795176390666,1.1772641307328815,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-03-31,0.0272320901126716,1.2093234936274155,16,16,0,0,2020,2021-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-04-30,-0.0901574137924804,0.9098425862075196,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-05-31,-0.0178193489312817,0.8936297836913479,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-06-30,-0.0868347013844227,0.8160317082762835,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-07-31,0.0990469836459944,0.8968571875405374,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
