FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs,Experiment,Universe,Model,SectorScope,WindowYears
2018,mse,all,2013,2017,1330,307,0.4266956400744707,0.5969038390190013,-0.0273694592596031,0.073467090601615,-0.0985953803507685,,0,sp500_mse_all_w5,S&P500,mse,all,5
2019,mse,all,2014,2018,1395,321,0.4734884714322938,0.641053216402953,-0.0142177930705643,0.0580509629174856,-0.0923800936340347,,0,sp500_mse_all_w5,S&P500,mse,all,5
2020,mse,all,2015,2019,1472,332,0.4008678868247328,0.6817162828707061,-0.030153434489668,0.0473449189836235,-0.0895252656144562,,0,sp500_mse_all_w5,S&P500,mse,all,5
2021,mse,all,2016,2020,1537,356,0.4836798152684465,0.5253946647756884,-0.0047748646544016,0.0212055001092932,-0.0846611857202582,,0,sp500_mse_all_w5,S&P500,mse,all,5
2022,mse,all,2017,2021,1611,370,0.5219711721326652,0.5364297723842888,-0.012023556905108,0.0229865301134164,-0.0763152439147941,,0,sp500_mse_all_w5,S&P500,mse,all,5
2023,mse,all,2018,2022,1686,375,0.6385168507745291,0.5231578112438798,0.0015740811493637,0.0312105019010241,-0.0685453225273116,,0,sp500_mse_all_w5,S&P500,mse,all,5
2024,mse,all,2019,2023,1754,373,0.6651667374928957,0.5838829950153309,0.0169294082435483,0.0473004503154565,-0.0638049858883579,,0,sp500_mse_all_w5,S&P500,mse,all,5
2025,mse,all,2020,2024,1806,382,0.7124905090104088,0.6042912398861935,0.0096690222999282,0.0824185586202645,-0.0629383014121012,,0,sp500_mse_all_w5,S&P500,mse,all,5
2016,mse,all,2013,2015,753,282,0.4622159495711274,0.5663489117377511,-0.0615463692353053,0.0691111031983589,-0.0817233650676698,,0,sp500_mse_all_w3,S&P500,mse,all,3
2017,mse,all,2014,2016,793,295,0.3942708103956712,0.594136249062516,-0.0148219521438884,0.0901125998969543,-0.0948537350978275,,0,sp500_mse_all_w3,S&P500,mse,all,3
2018,mse,all,2015,2017,844,307,0.4081204756267412,0.6044420908996372,-0.0313266864542417,0.1122464865694669,-0.1067972898346813,,0,sp500_mse_all_w3,S&P500,mse,all,3
2019,mse,all,2016,2018,884,321,0.4747296340218636,0.6908993845474739,-0.0077084918233725,0.0456362167957794,-0.0978869382675851,,0,sp500_mse_all_w3,S&P500,mse,all,3
2020,mse,all,2017,2019,923,332,0.4037477258529157,0.7242504214025169,-0.0147744625368778,-0.0114088918736302,-0.084894480599059,,0,sp500_mse_all_w3,S&P500,mse,all,3
2021,mse,all,2018,2020,960,356,0.4468443999048858,0.4750754496196256,0.0014496705667733,-0.019680689411997,-0.0630521671681978,,0,sp500_mse_all_w3,S&P500,mse,all,3
2022,mse,all,2019,2021,1009,370,0.5243365862693834,0.482079664656079,-0.0102535476095658,0.0355988724469861,-0.0686745681465133,,0,sp500_mse_all_w3,S&P500,mse,all,3
2023,mse,all,2020,2022,1058,375,0.6249239103470788,0.4247795557375109,0.0157680962421912,0.08059129694892,-0.0698706383903959,,0,sp500_mse_all_w3,S&P500,mse,all,3
2024,mse,all,2021,2023,1101,373,0.6412963236043677,0.6961667671515815,0.0411430056091223,0.0886989486969745,-0.0620542745001709,,0,sp500_mse_all_w3,S&P500,mse,all,3
2025,mse,all,2022,2024,1118,382,0.7102097631809844,0.7268894612579834,0.0392463536546392,0.0917916950671628,-0.0617891949878828,,0,sp500_mse_all_w3,S&P500,mse,all,3
2018,mse,bio_it,2013,2017,203,49,0.1155102040816326,0.5527589834244783,0.0832772464325212,0.0404994568885558,-0.2160432845870217,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2019,mse,bio_it,2014,2018,211,52,0.2872083840913774,0.5552296256630125,0.1606208824907144,0.0386352973982267,-0.1836878246899715,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2020,mse,bio_it,2015,2019,228,56,0.4967275586432467,0.5503636820447465,0.1741144589509041,0.0457436397077812,-0.1604945936590673,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2021,mse,bio_it,2016,2020,243,62,0.6189468912895673,0.60763259888632,0.2008346663220559,0.0573494553770429,-0.1421900972559682,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2022,mse,bio_it,2017,2021,264,64,0.4748222850847383,0.6239443353125279,0.1522976396573281,0.050325439633608,-0.119321162684564,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2023,mse,bio_it,2018,2022,283,67,0.5003591667331792,0.6823958913113296,0.1710479783056304,-0.0282342916925567,-0.1147444870942719,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2024,mse,bio_it,2019,2023,301,73,0.5677107839147028,0.6085715866269314,0.069324155162433,0.0036580937539265,-0.0548847751591524,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2025,mse,bio_it,2020,2024,322,74,0.7328303060571584,0.6825743574253289,0.0846610053098946,0.0196410102151669,-0.0462737956214722,,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2016,mse,bio_it,2013,2015,117,41,0.1611498257839721,0.6029508979494567,-0.1293530108895947,0.0438896899717397,-0.2739138406001067,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2017,mse,bio_it,2014,2016,117,45,0.3752305665349143,0.6775433036519577,0.24815604017508,-0.0765523951283114,-0.2211539494547783,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2018,mse,bio_it,2015,2017,127,49,0.1141836734693877,0.5755468058836563,0.2055988212861537,0.0815302345895361,-0.1599212223150951,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2019,mse,bio_it,2016,2018,135,52,0.2820430727841455,0.5244580179057629,0.1861252205288784,0.0782373907920367,-0.1557069514696487,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2020,mse,bio_it,2017,2019,146,56,0.4769391138617386,0.4973668572279788,0.0961903282704184,0.0933287867497405,-0.1366734247683257,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2021,mse,bio_it,2018,2020,157,62,0.6066581048072324,0.621362277673207,0.1892452188482299,0.0258467034960624,-0.1448619503964799,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2022,mse,bio_it,2019,2021,170,64,0.4608569237587165,0.737014211689055,0.2283528762863027,-0.0165575504748085,-0.1095156942667644,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2023,mse,bio_it,2020,2022,182,67,0.5015962965919069,0.7516744812037169,0.1992154282577729,-0.0476234129961802,-0.0889555919089489,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2024,mse,bio_it,2021,2023,193,73,0.5234367166384005,0.6111531368293461,0.0115411229861774,-0.011826471564459,-0.0154847779176536,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2025,mse,bio_it,2022,2024,204,74,0.7232634081161486,0.714985106909551,0.0628892005749631,0.0050126583316034,-0.0164396826351213,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
